movieId,reviewCount,positiveReviewCount,negativeReviewCount,positiveReviewRatio,negativeReviewRatio,meanSentimentScore,medianSentimentScore,sentimentReliability,adjustedSentimentScore,sentimentStd,meanPositiveProb,meanNegativeProb,meanSentimentConfidence
160,2,0,2,0.0,1.0,-0.8263099929303318,-0.8263099929303318,0.2857142857142857,-0.2360885694086662,0.24322901287434018,0.08684498439748567,0.9131549773278175,0.9131549773278175
161,3,1,2,0.3333333333333333,0.6666666666666666,-0.17441535713452028,-0.5138917707627819,0.375,-0.0654057589254451,1.0356681696577663,0.4127923139036412,0.5872076710381615,0.916669832249854
163,2,2,0,1.0,0.0,0.9936804591735746,0.9936804591735746,0.2857142857142857,0.2839087026210213,0.008542282280960226,0.9968402425587335,0.003159783385158844,0.9968402425587335
164,1,1,0,1.0,0.0,0.9959824577792661,0.9959824577792661,0.16666666666666666,0.16599707629654434,0.0,0.997991205571772,0.002008747792505956,0.997991205571772
165,4,3,1,0.75,0.25,0.533376826607436,0.9531680237797213,0.4444444444444444,0.23705636738108266,0.8703249067292914,0.7666884337090409,0.23331160710160495,0.9594266033401481
168,4,2,2,0.5,0.5,-0.008645970376194828,-0.011755147797780363,0.4444444444444444,-0.0038426535005310347,1.1010736529265677,0.49567700138188536,0.5043229717580802,0.9763622850030591
169,1,1,0,1.0,0.0,0.39753746263541506,0.39753746263541506,0.16666666666666666,0.06625624377256917,0.0,0.6987687604537178,0.30123129781830277,0.6987687604537178
170,2,1,1,0.5,0.5,0.008817864167995293,0.008817864167995293,0.2857142857142857,0.0025193897622843692,1.4008806743144036,0.5044089542883271,0.4955910901203318,0.9952861344247785
171,1,0,1,0.0,1.0,-0.5875918163290279,-0.5875918163290279,0.16666666666666666,-0.09793196938817131,0.0,0.20620410111698792,0.7937959174460159,0.7937959174460159
172,2,0,2,0.0,1.0,-0.987966677576177,-0.987966677576177,0.2857142857142857,-0.2822761935931934,0.0007029898418990856,0.006016628315461626,0.9939833058916385,0.9939833058916385
173,2,2,0,1.0,0.0,0.9871738021715362,0.9871738021715362,0.2857142857142857,0.28204965776329605,0.0045186689283817465,0.993586900908926,0.006413098737389898,0.993586900908926
175,1,1,0,1.0,0.0,0.9851507575347506,0.9851507575347506,0.16666666666666666,0.16419179292245842,0.0,0.9925754152495285,0.007424657714777979,0.9925754152495285
180,2,1,1,0.5,0.5,2.451116321228186e-05,2.451116321228186e-05,0.2857142857142857,7.0031894892233884e-06,1.4100572924521133,0.5000122494584932,0.4999877382952809,0.9985305305541031
185,1,1,0,1.0,0.0,0.9349325488595401,0.9349325488595401,0.16666666666666666,0.15582209147659,0.0,0.9674662870519302,0.03253373819238999,0.9674662870519302
188,1,1,0,1.0,0.0,0.9947644991670864,0.9947644991670864,0.16666666666666666,0.16579408319451439,0.0,0.9973822386812143,0.0026177395141279464,0.9973822386812143
191,2,1,1,0.5,0.5,0.007266850980713946,0.007266850980713946,0.2857142857142857,0.0020762431373468416,1.3313538278501915,0.5036334193317392,0.4963665683510253,0.9707046537571512
194,1,1,0,1.0,0.0,0.9757686972208449,0.9757686972208449,0.16666666666666666,0.16262811620347414,0.0,0.98788431174157,0.012115614520725106,0.98788431174157
195,1,1,0,1.0,0.0,0.99960845704304,0.99960845704304,0.16666666666666666,0.16660140950717334,0.0,0.9998042409012957,0.00019578385825564222,0.9998042409012957
196,3,1,2,0.3333333333333333,0.6666666666666666,-0.3279214486985063,-0.8853536744912466,0.375,-0.12297054326193987,1.0610355407459207,0.3360392756181536,0.66396072431666,0.9625101595679775
198,1,1,0,1.0,0.0,0.979268336422229,0.979268336422229,0.16666666666666666,0.16321138940370483,0.0,0.9896341757799583,0.010365839357729311,0.9896341757799583
203,1,1,0,1.0,0.0,0.6316689973475466,0.6316689973475466,0.16666666666666666,0.10527816622459109,0.0,0.8158344881327589,0.18416549078521238,0.8158344881327589
204,3,2,1,0.6666666666666666,0.3333333333333333,0.4582265606795899,0.9661203990591333,0.375,0.1718349602548462,0.8982529211786482,0.7291132508357582,0.27088669015616834,0.9220843537104376
